12;4.023096;3.232337;4.179445;12;12;5.782402;12;12;12;11.57465;3.403537;3.369311;12;12;6.187298;6.231416;11.98407;0.465491;4.248484;-0.01358247;0;-0.08378792:
12;3.93409;3.171549;4.07079;12;12;5.725576;12;12;12;11.56603;3.323448;3.317369;12;12;6.1701;6.130407;11.97631;0.4669058;4.222193;-0.006236404;0;-0.08494234:
12;3.733326;3.046343;3.880578;12;12;5.624299;12;12;12;11.55445;3.162359;3.211335;12;12;6.143021;5.933887;11.95998;0.4693862;4.167238;-0.01917902;0;-0.1656213:
12;3.626012;2.982935;3.796896;12;12;5.579453;12;12;12;11.55196;3.082633;3.158156;12;12;6.134347;5.839563;11.95152;0.470448;4.138951;-0.01447579;0;-0.08298302:
12;3.517317;2.919693;3.719464;12;12;5.538454;12;12;12;11.55179;3.004268;3.105431;12;12;6.12986;5.748765;11.94305;0.4714023;4.110421;-0.004631042;0;-0.08446169:
12;3.406407;2.855922;3.647307;12;12;5.50034;12;12;12;11.55412;2.926293;3.052558;12;12;6.130247;5.66022;11.93448;0.4722501;4.081281;-0.004469335;0;-0.08378315:
12;3.29479;2.791729;3.579165;12;12;5.464985;6.795118;12;12;11.55927;2.848763;2.999669;12;12;6.136464;5.573723;11.9257;0.4730204;4.051504;-0.01057041;0;-0.08364582:
12;3.074556;2.664897;3.458826;12;12;5.402775;6.207223;12;12;11.57849;2.697936;2.895977;12;12;6.171862;5.410044;11.90805;0.4742528;3.991134;-0.01479977;0;-0.1675906:
12;2.966084;2.601894;3.405735;12;12;5.375274;6.003799;12;12;3.899137;2.623955;2.844906;12;12;6.205291;5.331719;11.89896;0.4747389;3.960205;-0.01123047;0;-0.08361483:
12;2.860006;2.539254;3.355705;12;12;5.350909;5.827019;11.98534;12;3.582937;2.550996;2.794507;12;12;6.254073;5.255734;11.88969;0.4751906;3.928771;-0.01098967;0;-0.08340168:
12;2.75455;2.476459;3.310418;12;12;5.329023;5.670168;11.97043;12;3.342973;2.478287;2.744228;12;12;6.326281;5.181628;11.88038;0.4755611;3.89651;0.002644122;0;-0.08419657:
12;2.653646;2.415903;3.272272;12;12;5.310124;5.532351;11.95643;12;3.146295;2.408439;2.69612;12;12;6.432954;5.111539;11.87106;0.475844;3.864486;-0.01471633;0;-0.0839076:
11.99672;2.554174;2.355658;3.240422;12;12;5.293836;5.405045;11.94268;12;2.971617;2.339133;2.648704;12;12;6.619529;5.043102;11.86141;0.4760614;3.831616;-0.01395774;0;-0.08216953:
11.85039;2.367274;2.238979;3.190738;12;12;5.277112;5.175765;11.91457;12;2.673279;2.205993;2.559114;12;12;12;4.915128;11.84177;0.4765313;3.765019;-0.01389742;0;-0.09729576:
11.77242;2.277401;2.182475;3.182709;12;12;5.274439;5.076224;11.90286;12;2.541829;2.141466;2.516169;12;12;12;4.856612;11.83284;0.4766172;3.731266;0.05778587;0;-0.01307011:
11.71054;2.19358;2.12824;3.179981;12;12;5.281453;4.980299;11.88898;12;2.421847;2.080094;2.476855;12;12;12;4.800824;11.82302;0.4768363;3.697532;-0.05428195;0;0.01271772:
11.64158;2.114199;2.077681;3.204829;12;12;5.289683;4.897496;11.87833;12;2.31341;2.022187;2.440321;12;12;12;4.750944;11.81442;0.4768408;3.664784;0.05612993;0;-0.01289845:
3.648718;2.037116;2.02875;3.269895;12;12;5.303524;4.817044;11.86661;12;2.210456;1.965712;2.406813;12;12;12;4.702216;11.80469;0.4768069;3.631073;-0.05418557;0;0.01270103:
