speed,diff_int_v_x,diff_int_v_y,acc_x,acc_y
1.300978,-1.190716,0.345365,3.280194,-0.671905
1.355948,-1.253719,0.322574,3.806434,-0.722652
1.407255,-1.311997,0.300118,4.298783,-0.74707
1.454678,-1.365525,0.278002,4.753701,-0.749956
1.498046,-1.41428,0.256229,5.168579,-0.735275
1.537223,-1.458238,0.234804,5.541466,-0.706315
1.572098,-1.497374,0.213729,5.870893,-0.66582
1.602585,-1.531665,0.193008,6.155739,-0.616097
1.628611,-1.561086,0.172646,6.395142,-0.5591
1.650117,-1.585615,0.152646,6.588434,-0.496502
1.667055,-1.605226,0.133011,6.734977,-0.430392
1.679358,-1.619855,0.113971,6.832678,-0.370256
1.686818,-1.62923,0.096857,6.880271,-0.316687
1.68933,-1.633284,0.081901,6.87726,-0.269607
1.686827,-1.631996,0.069109,6.8232,-0.229855
1.679256,-1.62536,0.058482,6.717743,-0.198026
1.666573,-1.613388,0.050018,6.560624,-0.174482
1.648746,-1.596093,0.043713,6.351647,-0.159353
1.62575,-1.573485,0.039567,6.090678,-0.152528
1.597572,-1.545576,0.037575,5.777639,-0.153631
1.564207,-1.512379,0.037735,5.41252,-0.161993
1.525659,-1.473903,0.040045,4.995379,-0.176597
1.481946,-1.430162,0.044503,4.526366,-0.196005
1.433096,-1.381161,0.051106,4.005757,-0.218257
1.379157,-1.326903,0.059854,3.434004,-0.240716
1.320196,-1.26739,0.070747,2.817332,-0.258381
1.258208,-1.204565,0.083263,2.238948,-0.249607
1.204428,-1.149874,0.094333,1.760877,-0.226006
1.160687,-1.105281,0.10343,1.383733,-0.196335
1.126908,-1.070814,0.110546,1.106605,-0.165058
1.103017,-1.046501,0.115673,0.928533,-0.136281
1.088954,-1.032367,0.118806,0.848651,-0.113343
1.084677,-1.028441,0.119937,0.866337,-0.098454
1.090169,-1.034749,0.119059,0.981331,-0.092441
1.105436,-1.050191,0.116709,1.193784,-0.094658
1.130513,-1.075716,0.112407,1.504219,-0.103072
1.165452,-1.111344,0.106149,1.913429,-0.11451
1.210319,-1.157101,0.097926,2.422335,-0.125018
1.265189,-1.213017,0.087732,3.023706,-0.132319
1.327325,-1.276266,0.076285,3.597071,-0.156149
1.38015,-1.329999,0.06786,4.050979,-0.180811
1.420739,-1.371351,0.063187,4.382121,-0.206476
1.449025,-1.40032,0.062264,4.589769,-0.237404
1.46499,-1.4169,0.065094,4.673675,-0.275828
1.468656,-1.421086,0.071678,4.633959,-0.322329
1.460085,-1.412868,0.082017,4.471101,-0.375979
1.439386,-1.392237,0.096115,4.188045,-0.43385
1.407423,-1.359895,0.113812,3.816654,-0.486406
1.368524,-1.320065,0.134153,3.381564,-0.532582
1.323602,-1.273464,0.156976,2.885568,-0.568753
1.272936,-1.220093,0.182281,2.332,-0.5885
1.216897,-1.15995,0.210068,1.725761,-0.583577
1.15599,-1.093036,0.240338,1.074157,-0.543446
1.090909,-1.019352,0.27309,0.388234,-0.45478
1.022622,-0.938896,0.308324,-0.3151,-0.30113
0.952508,-0.851669,0.34604,-1.00981,-0.063254
0.882542,-0.757672,0.386238,-1.656004,0.278671
0.815573,-0.656903,0.428919,-2.194345,0.738345
0.755647,-0.571781,0.494033,0,0
1.358847,-1.227315,-0.420811,3.794901,0.847066
1.406645,-1.290502,-0.377578,4.271958,0.834215
1.452638,-1.349058,-0.335864,4.730211,0.795859
1.496292,-1.402966,-0.295668,5.163097,0.736476
1.537174,-1.452193,-0.256993,5.56556,0.660299
1.574934,-1.496707,-0.219838,5.933702,0.57119
1.609283,-1.536475,-0.184205,6.264523,0.472603
1.639986,-1.571466,-0.150095,6.555702,0.36759
1.666847,-1.601647,-0.117508,6.805443,0.258827
1.689703,-1.626985,-0.086446,7.012346,0.148654
1.708418,-1.647459,-0.056909,7.17532,0.039117
1.722878,-1.663067,-0.028902,7.293509,-0.067996
1.732985,-1.673813,-0.002427,7.366241,-0.171117
1.738658,-1.679699,0.022513,7.392988,-0.268865
1.739825,-1.680727,0.045914,7.373333,-0.360014
1.736426,-1.676901,0.067773,7.306949,-0.443477
1.728408,-1.668223,0.088088,7.193582,-0.518271
1.715728,-1.654695,0.106853,7.033033,-0.583507
1.698345,-1.63632,0.124068,6.825155,-0.638366
1.676225,-1.613101,0.139727,6.569837,-0.682084
1.649339,-1.58504,0.153828,6.267007,-0.713935
1.61766,-1.55214,0.166368,5.916625,-0.733212
1.581167,-1.514404,0.177344,5.518679,-0.739214
1.53984,-1.471834,0.186752,5.073192,-0.73122
1.493662,-1.42443,0.194588,4.58022,-0.708467
1.442619,-1.372184,0.200849,4.039856,-0.67012
1.386699,-1.315083,0.205529,3.459526,-0.61543
1.328432,-1.255679,0.208694,2.94791,-0.548863
1.282744,-1.209073,0.210754,2.585971,-0.489125
1.252103,-1.177848,0.211776,2.374215,-0.443299
1.236459,-1.162024,0.211755,2.311624,-0.414928
1.235785,-1.161621,0.210688,2.397676,-0.405838
1.25009,-1.176662,0.208571,2.632475,-0.415824
1.279415,-1.207166,0.205399,3.016443,-0.442684
1.323683,-1.253009,0.201178,3.489026,-0.486413
1.370427,-1.301384,0.196763,3.916765,-0.531505
1.41094,-1.343395,0.192749,4.282862,-0.565992
1.445187,-1.379028,0.189143,4.586698,-0.592004
1.473139,-1.408268,0.185952,4.827829,-0.611144
1.494779,-1.431102,0.183184,5.005941,-0.624605
1.510089,-1.447514,0.180846,5.120812,-0.633257
