n_displ_x,n_displ_y,n_diff_int_vel_x,n_diff_int_vel_y,n_diff_vel_x,n_diff_vel_y,speed,diff_int_v_x,diff_int_v_y,acc_x,acc_y
-1.099373,-0.177929,0.003669,-0.004942,-0.52581,-0.49691,0.986824,-0.880774,0.318734,-0.95213,-0.276086
-1.219796,-0.22732,0.003811,-0.004291,-0.635942,-0.53522,0.883226,-0.748822,0.370338,-1.635662,0.265049
-1.358726,-0.269706,0.00407,-0.003613,-0.704016,-0.557621,0.81945,-0.658355,0.407007,-1.890955,0.764183
-1.515341,-0.283708,0.004393,-0.002922,-0.730031,-0.564112,0.788747,-0.609423,0.428731,-1.846623,1.105727
-1.685465,-0.243588,0.004729,-0.002232,-0.713986,-0.554694,0.785993,-0.602072,0.435497,-1.605836,1.231766
-0.960238,-1.5622,0.002974,-0.003294,-0.399804,-0.385181,0.809986,-0.636352,0.427292,-1.190139,1.136273
-1.165947,-1.464012,0.002515,-0.002977,-0.315803,-0.363067,0.863912,-0.712311,0.404107,-0.530144,0.85842
-1.380008,-1.329405,0.002004,-0.002644,-0.192682,-0.326836,0.953779,-0.829997,0.365927,0.49513,0.487964
-1.571111,-1.179983,0.001405,-0.002301,-0.030441,-0.27649,1.085814,-0.989458,0.312742,1.993713,0.153561
-1.722484,-1.047048,0.000681,-0.001956,0.17092,-0.212026,1.264463,-1.190742,0.244539,4.016856,-0.019215
-1.832829,-0.959921,-0.000204,-0.001613,0.411401,-0.133447,1.49188,-1.433898,0.161307,6.562177,0.053066
-1.909585,-0.939762,-0.001286,-0.001282,0.691002,-0.040751,1.768517,-1.718973,0.063034,9.585273,0.399674
-1.961412,-1.001445,-0.002602,-0.000968,1.002308,0.064012,2.086483,-2.0386,-0.048242,12.397588,0.847401
-1.960806,0.801641,0.000303,0.001983,1.167232,0.172249,2.330684,-2.28045,-0.141489,14.113793,1.23347
-1.919758,0.591886,-0.001438,0.002126,1.307309,0.243656,2.458202,-2.405183,-0.205849,14.65822,1.475498
-1.883738,0.349197,-0.003165,0.002254,1.328429,0.283444,2.467304,-2.412646,-0.241298,14.026171,1.517549
-1.850472,0.102825,-0.004713,0.002398,1.230592,0.291612,2.357177,-2.302688,-0.247809,12.216227,1.336875
-1.818575,-0.121857,-0.005921,0.002591,1.013798,0.268161,2.127449,-2.075157,-0.225359,9.229561,0.931462
-1.158162,1.35085,-0.001939,0.005311,0.542155,0.207091,1.779312,-1.731114,-0.174159,5.577678,0.423709
-1.151595,1.261588,-0.001952,0.005702,0.213035,0.146432,1.421307,-1.37716,-0.115053,2.409287,0.03719
-1.159609,1.221523,-0.001566,0.006164,-0.046926,0.095379,1.12876,-1.08735,-0.062523,-0.116146,-0.20061
-1.18725,1.212851,-0.000916,0.006668,-0.237728,0.053934,0.902043,-0.861823,-0.016601,-1.993312,-0.262139
-1.237504,1.21914,-0.000073,0.007151,-0.35937,0.022095,0.741557,-0.700719,0.022681,-3.210425,-0.140522
-1.643773,-0.581154,-0.00393,0.005056,-0.427908,-0.046641,0.647378,-0.604178,0.055291,-3.774551,0.107278
-1.639467,-0.567422,-0.003134,0.005417,-0.469741,-0.078634,0.612067,-0.565616,0.081078,-3.978388,0.35619
-1.652838,-0.529724,-0.002543,0.005665,-0.495793,-0.103149,0.594998,-0.545523,0.099302,-4.059637,0.558747
-1.68221,-0.466252,-0.002223,0.005763,-0.512783,-0.120066,0.588612,-0.537236,0.109807,-4.040258,0.693722
-1.723744,-0.37505,-0.002236,0.005673,-0.520712,-0.129384,0.592379,-0.540809,0.112563,-3.931313,0.747614
-1.77127,-0.255936,-0.002643,0.005357,-0.519578,-0.131104,0.60619,-0.556297,0.107534,-3.734385,0.721782
-1.817167,-0.111248,-0.002756,0.005194,-0.509383,-0.125226,0.630371,-0.583003,0.095106,-3.441589,0.631393
-1.853752,0.053788,-0.001912,0.005559,-0.490126,-0.11175,0.665582,-0.620256,0.075659,-3.03906,0.502829
-1.874769,0.231406,-0.001123,0.005893,-0.461806,-0.090676,0.71266,-0.669058,0.048637,-2.512106,0.369629
-1.876424,0.412297,-0.000378,0.0063,-0.423427,-0.061826,0.772454,-0.729435,0.014026,-1.8497,0.267304
-1.857549,0.586182,0.00034,0.00668,-0.3691,-0.024157,0.845702,-0.801415,-0.028193,-1.046696,0.228216
-1.819343,0.743167,0.000994,0.007009,-0.297828,0.022508,0.932956,-0.885033,-0.078041,-0.103528,0.277931
-1.764636,0.875016,0.001538,0.007261,-0.209611,0.07817,1.034582,-0.980332,-0.135544,0.975621,0.433816
